Model,DPO4034
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,-1.508e-05
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH2
-8.5548e-04,0
-8.5528e-04,0
-8.5508e-04,-0.0004
-8.5488e-04,-0.0004
-8.5468e-04,0.0012
-8.5448e-04,0.0012
-8.5428e-04,0.0004
-8.5408e-04,0.0008
-8.5388e-04,0.0004
-8.5368e-04,0.0004
-8.5348e-04,0
-8.5328e-04,0.0004
-8.5308e-04,0
-8.5288e-04,0.0004
-8.5268e-04,0.0008
-8.5248e-04,0
-8.5228e-04,0.0008
-8.5208e-04,-0.0004
-8.5188e-04,0.0012
-8.5168e-04,0.0008
-8.5148e-04,0.0012
-8.5128e-04,0.0004
-8.5108e-04,0.0008
-8.5088e-04,0
-8.5068e-04,0.0008
-8.5048e-04,0
-8.5028e-04,0.0008
-8.5008e-04,0.0004
-8.4988e-04,0
-8.4968e-04,0.0004
-8.4948e-04,0
-8.4928e-04,0.0004
-8.4908e-04,0
-8.4888e-04,0.0004
-8.4868e-04,0
-8.4848e-04,0.0004
-8.4828e-04,-0.0004
-8.4808e-04,0.0004
-8.4788e-04,0
-8.4768e-04,0
-8.4748e-04,0.0008
-8.4728e-04,0.0008
-8.4708e-04,0.0008
-8.4688e-04,0
-8.4668e-04,0
-8.4648e-04,0.0004
-8.4628e-04,0
-8.4608e-04,0.0004
-8.4588e-04,-0.0004
-8.4568e-04,0.0004
-8.4548e-04,-0.0004
-8.4528e-04,0.0004
-8.4508e-04,0.0004
-8.4488e-04,-0.0004
-8.4468e-04,-0.0004
-8.4448e-04,0
-8.4428e-04,0.0008
-8.4408e-04,0.0004
-8.4388e-04,0
-8.4368e-04,0.0008
-8.4348e-04,0
-8.4328e-04,0.0008
-8.4308e-04,0.0004
-8.4288e-04,0
-8.4268e-04,0
-8.4248e-04,-0.0004
-8.4228e-04,0.0008
-8.4208e-04,-0.0004
-8.4188e-04,0.0004
-8.4168e-04,0.0004
-8.4148e-04,-0.0004
-8.4128e-04,0.0012
-8.4108e-04,0.0004
-8.4088e-04,-0.0004
-8.4068e-04,0.0008
-8.4048e-04,0.0004
-8.4028e-04,0.0008
-8.4008e-04,0
-8.3988e-04,0.0008
-8.3968e-04,0.0008
-8.3948e-04,0.0004
-8.3928e-04,0.0008
-8.3908e-04,0
-8.3888e-04,0.0004
-8.3868e-04,0.0008
-8.3848e-04,-0.0008
-8.3828e-04,0
-8.3808e-04,0.0004
-8.3788e-04,0
-8.3768e-04,0
-8.3748e-04,0
-8.3728e-04,0
-8.3708e-04,0.0012
-8.3688e-04,0
-8.3668e-04,0.0004
-8.3648e-04,0.0004
-8.3628e-04,0.0008
-8.3608e-04,0
-8.3588e-04,0
-8.3568e-04,0.0008
-8.3548e-04,0
-8.3528e-04,0.0008
-8.3508e-04,0
-8.3488e-04,0.0004
-8.3468e-04,0
-8.3448e-04,-0.0004
-8.3428e-04,0.0008
-8.3408e-04,0
-8.3388e-04,0
-8.3368e-04,0.0008
-8.3348e-04,0.0008
-8.3328e-04,0.0008
-8.3308e-04,0.0004
-8.3288e-04,0.0004
-8.3268e-04,-0.0004
-8.3248e-04,0.0004
-8.3228e-04,0.0008
-8.3208e-04,0.0004
-8.3188e-04,0.0008
-8.3168e-04,0
-8.3148e-04,0.0004
-8.3128e-04,-0.0004
-8.3108e-04,0.0004
-8.3088e-04,0.0008
-8.3068e-04,0
-8.3048e-04,0.0008
-8.3028e-04,0.0004
-8.3008e-04,0.0004
-8.2988e-04,0
-8.2968e-04,0
-8.2948e-04,0.0008
-8.2928e-04,0.0004
-8.2908e-04,0.0008
-8.2888e-04,0.0004
-8.2868e-04,0.0012
-8.2848e-04,0
-8.2828e-04,0.0004
-8.2808e-04,0
-8.2788e-04,-0.0004
-8.2768e-04,0.0008
-8.2748e-04,0.0008
-8.2728e-04,0
-8.2708e-04,0.0008
-8.2688e-04,0
-8.2668e-04,0
-8.2648e-04,0.0004
-8.2628e-04,0
-8.2608e-04,0.0004
-8.2588e-04,0.0008
-8.2568e-04,0.0012
-8.2548e-04,0
-8.2528e-04,-0.0004
-8.2508e-04,-0.0008
-8.2488e-04,0.0008
-8.2468e-04,0
-8.2448e-04,0.0008
-8.2428e-04,0.0004
-8.2408e-04,0.0004
-8.2388e-04,0.0008
-8.2368e-04,0.0004
-8.2348e-04,0.0004
-8.2328e-04,0
-8.2308e-04,0
-8.2288e-04,0
-8.2268e-04,0.0004
-8.2248e-04,0
-8.2228e-04,0
-8.2208e-04,0.0012
-8.2188e-04,0
-8.2168e-04,0.0012
-8.2148e-04,0
-8.2128e-04,0
-8.2108e-04,-0.0004
-8.2088e-04,0
-8.2068e-04,0.0012
-8.2048e-04,0.0012
-8.2028e-04,0.0004
-8.2008e-04,0.0004
-8.1988e-04,0
-8.1968e-04,0.0008
-8.1948e-04,0
-8.1928e-04,-0.0004
-8.1908e-04,-0.0004
-8.1888e-04,0.0004
-8.1868e-04,0.0012
-8.1848e-04,0
-8.1828e-04,0.0008
-8.1808e-04,0.0004
-8.1788e-04,-0.0004
