Model,DPO4034
Firmware Version,2.68
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2.00E-05
Horizontal Delay,-2.70E-06
Sample Interval,2.00E-08
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,0.04
,
,
,
Label,A
TIME,CH1
-8.81E-05,0.24
-8.81E-05,0.24
-8.81E-05,0.24
-8.81E-05,0.244
-8.80E-05,0.244
-8.80E-05,0.232
-8.80E-05,0.24
-8.80E-05,0.244
-8.80E-05,0.232
-8.79E-05,0.24
-8.79E-05,0.236
-8.79E-05,0.236
-8.79E-05,0.244
-8.79E-05,0.244
-8.78E-05,0.232
-8.78E-05,0.24
-8.78E-05,0.24
-8.78E-05,0.244
-8.78E-05,0.24
-8.77E-05,0.236
-8.77E-05,0.236
-8.77E-05,0.244
-8.77E-05,0.24
-8.77E-05,0.236
-8.76E-05,0.236
-8.76E-05,0.228
-8.76E-05,0.24
-8.76E-05,0.236
-8.76E-05,0.24
-8.75E-05,0.232
-8.75E-05,0.24
-8.75E-05,0.244
-8.75E-05,0.24
-8.75E-05,0.244
-8.74E-05,0.244
-8.74E-05,0.24
-8.74E-05,0.24
-8.74E-05,0.24
-8.74E-05,0.236
-8.73E-05,0.24
-8.73E-05,0.228
-8.73E-05,0.24
-8.73E-05,0.236
-8.73E-05,0.232
-8.72E-05,0.244
-8.72E-05,0.236
-8.72E-05,0.24
-8.72E-05,0.244
-8.72E-05,0.24
-8.71E-05,0.236
-8.71E-05,0.24
-8.71E-05,0.236
-8.71E-05,0.236
-8.71E-05,0.232
-8.70E-05,0.24
-8.70E-05,0.24
-8.70E-05,0.248
-8.70E-05,0.236
-8.70E-05,0.236
-8.69E-05,0.236
-8.69E-05,0.236
-8.69E-05,0.24
-8.69E-05,0.248
-8.69E-05,0.236
-8.68E-05,0.244
-8.68E-05,0.244
-8.68E-05,0.24
-8.68E-05,0.244
-8.68E-05,0.24
-8.67E-05,0.252
-8.67E-05,0.24
-8.67E-05,0.24
-8.67E-05,0.236
-8.67E-05,0.24
-8.66E-05,0.236
-8.66E-05,0.228
-8.66E-05,0.236
-8.66E-05,0.24
-8.66E-05,0.236
-8.65E-05,0.24
-8.65E-05,0.236
-8.65E-05,0.252
-8.65E-05,0.24
-8.65E-05,0.232
-8.64E-05,0.244
-8.64E-05,0.232
-8.64E-05,0.236
-8.64E-05,0.236
-8.64E-05,0.24
-8.63E-05,0.236
-8.63E-05,0.236
-8.63E-05,0.24
-8.63E-05,0.248
-8.63E-05,0.244
-8.62E-05,0.244
-8.62E-05,0.24
-8.62E-05,0.236
-8.62E-05,0.236
-8.62E-05,0.236
-8.61E-05,0.248
-8.61E-05,0.24
-8.61E-05,0.232
-8.61E-05,0.232
-8.61E-05,0.24
-8.60E-05,0.24
-8.60E-05,0.24
-8.60E-05,0.244
-8.60E-05,0.24
-8.60E-05,0.24
-8.59E-05,0.236
-8.59E-05,0.24
-8.59E-05,0.232
-8.59E-05,0.24
-8.59E-05,0.24
-8.58E-05,0.244
-8.58E-05,0.224
-8.58E-05,0.24
-8.58E-05,0.248
-8.58E-05,0.24
-8.57E-05,0.24
-8.57E-05,0.252
-8.57E-05,0.24
-8.57E-05,0.236
-8.57E-05,0.236
-8.56E-05,0.232
-8.56E-05,0.24
-8.56E-05,0.236
-8.56E-05,0.24
-8.56E-05,0.244
-8.55E-05,0.232
-8.55E-05,0.236
-8.55E-05,0.24
-8.55E-05,0.24
-8.55E-05,0.24
-8.54E-05,0.24
-8.54E-05,0.236
-8.54E-05,0.244
-8.54E-05,0.228
-8.54E-05,0.24
-8.53E-05,0.24
-8.53E-05,0.244
-8.53E-05,0.24
-8.53E-05,0.244
-8.53E-05,0.24
-8.52E-05,0.244
-8.52E-05,0.24
-8.52E-05,0.24
-8.52E-05,0.248
-8.52E-05,0.24
-8.51E-05,0.248
-8.51E-05,0.236
-8.51E-05,0.24
-8.51E-05,0.232
-8.51E-05,0.24
-8.50E-05,0.244
-8.50E-05,0.24
-8.50E-05,0.248
-8.50E-05,-0.248
-8.50E-05,-0.112
-8.49E-05,-0.132
-8.49E-05,-0.116
-8.49E-05,-0.124
-8.49E-05,-0.108
-8.49E-05,-0.116
-8.48E-05,-0.116
-8.48E-05,-0.12
-8.48E-05,-0.128
-8.48E-05,-0.116
-8.48E-05,-0.112
-8.47E-05,-0.108
-8.47E-05,-0.12
-8.47E-05,-0.108
-8.47E-05,-0.108
-8.47E-05,-0.12
-8.46E-05,-0.112
-8.46E-05,-0.112
-8.46E-05,-0.108
-8.46E-05,-0.108
-8.46E-05,-0.12
-8.45E-05,-0.124
-8.45E-05,-0.108
-8.45E-05,-0.12
-8.45E-05,-0.112
-8.45E-05,-0.116
-8.44E-05,-0.116
-8.44E-05,-0.116
-8.44E-05,-0.124
-8.44E-05,-0.116
-8.44E-05,-0.12
-8.43E-05,-0.112
-8.43E-05,-0.108
-8.43E-05,-0.12
-8.43E-05,-0.112
-8.43E-05,-0.108
-8.42E-05,-0.112
-8.42E-05,-0.116
-8.42E-05,-0.124
-8.42E-05,-0.12
-8.42E-05,-0.12
-8.41E-05,-0.12
-8.41E-05,-0.108
-8.41E-05,-0.108
-8.41E-05,-0.108
-8.41E-05,-0.12
-8.40E-05,-0.104
-8.40E-05,-0.112
-8.40E-05,-0.108
-8.40E-05,-0.124
-8.40E-05,-0.112
-8.39E-05,-0.116
-8.39E-05,-0.116
-8.39E-05,-0.124
-8.39E-05,-0.104
-8.39E-05,-0.124
-8.38E-05,-0.12
-8.38E-05,-0.112
-8.38E-05,-0.116
-8.38E-05,-0.108
-8.38E-05,-0.112
-8.37E-05,-0.116
-8.37E-05,-0.112
-8.37E-05,-0.12
-8.37E-05,-0.12
-8.37E-05,-0.112
-8.36E-05,-0.108
-8.36E-05,-0.108
-8.36E-05,-0.124
-8.36E-05,-0.112
-8.36E-05,-0.112
-8.35E-05,-0.112
-8.35E-05,-0.124
-8.35E-05,-0.112
-8.35E-05,-0.12
-8.35E-05,-0.112
-8.34E-05,-0.108
-8.34E-05,-0.108
-8.34E-05,-0.108
